IDRAGASA,JDE,MARCA,SKU,PRODUCTO,DESCRIPCION,PRECIO,PRESENTACION,EMPAQUE,SEMILLA,SEGMENTO,COMPETENCIA
74,178,2,7501039120149,ACEITE NUTRIOLI 946 ML     ,ACEITE NUTRIOLI 12/946 ML     ,23.12,946ML,BOT,SOY,ALT,1
75,705,3,7501039127056,NUEVO SABROSANO 946 ML ,AC. NUEVO SABROSANO 12/946 ML ,18.36,946ML,BOT,SOY,MED,1
76,900,3,7501039127056,NUEVO SABROSANO 946 ML ,AC. NUEVO SABROSANO 12/946 ML ,18.36,946ML,BOT,SOY,MED,1
